"","Date","State","Confirmed"
"501","29/05/20","Odisha",1660
"502","29/05/20","West Bengal",4536
"503","30/05/20","Chhattisgarh",415
"504","30/05/20","Gujarat",15934
"505","30/05/20","Jharkhand",511
"506","30/05/20","Madhya Pradesh",7645
"507","30/05/20","Maharashtra",62228
"508","30/05/20","Odisha",1723
"509","30/05/20","West Bengal",4813
"510","31/05/20","Chhattisgarh",447
"511","31/05/20","Gujarat",16343
"512","31/05/20","Jharkhand",563
"513","31/05/20","Madhya Pradesh",7891
"514","31/05/20","Maharashtra",65168
"515","31/05/20","Odisha",1819
"516","31/05/20","West Bengal",5130
"517","01/06/20","Chhattisgarh",498
"518","01/06/20","Gujarat",16779
"519","01/06/20","Jharkhand",610
"520","01/06/20","Madhya Pradesh",8089
"521","01/06/20","Maharashtra",67655
"522","01/06/20","Odisha",1948
"523","01/06/20","West Bengal",5501
"524","02/06/20","Chhattisgarh",547
"525","02/06/20","Gujarat",17200
"526","02/06/20","Jharkhand",659
"527","02/06/20","Madhya Pradesh",8283
"528","02/06/20","Maharashtra",70013
"529","02/06/20","Odisha",2104
"530","02/06/20","West Bengal",5772
"531","03/06/20","Chhattisgarh",564
"532","03/06/20","Gujarat",17617
"533","03/06/20","Jharkhand",712
"534","03/06/20","Madhya Pradesh",8420
"535","03/06/20","Maharashtra",72300
"536","03/06/20","Odisha",2245
"537","03/06/20","West Bengal",6168
"538","04/06/20","Chhattisgarh",668
"539","04/06/20","Gujarat",18100
"540","04/06/20","Jharkhand",752
"541","04/06/20","Madhya Pradesh",8588
"542","04/06/20","Maharashtra",74860
"543","04/06/20","Odisha",2388
"544","04/06/20","West Bengal",6508
"545","05/06/20","Chhattisgarh",756
"546","05/06/20","Gujarat",18584
"547","05/06/20","Jharkhand",793
"548","05/06/20","Madhya Pradesh",8762
"549","05/06/20","Maharashtra",77793
"550","05/06/20","Odisha",2478
"551","05/06/20","West Bengal",6876
"552","06/06/20","Chhattisgarh",879
"553","06/06/20","Gujarat",19094
"554","06/06/20","Jharkhand",881
"555","06/06/20","Madhya Pradesh",8996
"556","06/06/20","Maharashtra",80229
"557","06/06/20","Odisha",2608
"558","06/06/20","West Bengal",7303
"559","07/06/20","Chhattisgarh",923
"560","07/06/20","Gujarat",19592
"561","07/06/20","Jharkhand",1000
"562","07/06/20","Madhya Pradesh",9228
"563","07/06/20","Maharashtra",82968
"564","07/06/20","Odisha",2781
"565","07/06/20","West Bengal",7738
"566","08/06/20","Chhattisgarh",1073
"567","08/06/20","Gujarat",20070
"568","08/06/20","Jharkhand",1099
"569","08/06/20","Madhya Pradesh",9401
"570","08/06/20","Maharashtra",85975
"571","08/06/20","Odisha",2856
"572","08/06/20","West Bengal",8187
"573","09/06/20","Chhattisgarh",1160
"574","09/06/20","Gujarat",20545
"575","09/06/20","Jharkhand",1256
"576","09/06/20","Madhya Pradesh",9638
"577","09/06/20","Maharashtra",88528
"578","09/06/20","Odisha",2994
"579","09/06/20","West Bengal",8613
"580","10/06/20","Chhattisgarh",1240
"581","10/06/20","Gujarat",21014
"582","10/06/20","Jharkhand",1411
"583","10/06/20","Madhya Pradesh",9849
"584","10/06/20","Maharashtra",90787
"585","10/06/20","Odisha",3140
"586","10/06/20","West Bengal",8985
"587","11/06/20","Chhattisgarh",1262
"588","11/06/20","Gujarat",21521
"589","11/06/20","Jharkhand",1489
"590","11/06/20","Madhya Pradesh",10049
"591","11/06/20","Maharashtra",94041
"592","11/06/20","Odisha",3250
"593","11/06/20","West Bengal",9328
"594","12/06/20","Chhattisgarh",1398
"595","12/06/20","Gujarat",22032
"596","12/06/20","Jharkhand",1599
"597","12/06/20","Madhya Pradesh",10241
"598","12/06/20","Maharashtra",97648
"599","12/06/20","Odisha",3386
"600","12/06/20","West Bengal",9768
"601","13/06/20","Chhattisgarh",1429
"602","13/06/20","Gujarat",22527
"603","13/06/20","Jharkhand",1617
"604","13/06/20","Madhya Pradesh",10443
"605","13/06/20","Maharashtra",101141
